WORK_ORDER,TLA,CARTON_NO,PALLET_NO,CONTAINER_NO,SKU,MLB_PCBA,FATP_SN,NFC_UID,STM32_UUID,METAL_BASE,FF_TRACKING_NUMBER,SHIPPING_DATE,FATP_INPUT_DATETIME,ME_LINE_OUT_DATETIME,OQC_LINE_OUTPUT_DATETIME
BH-104282,88-0000861,HC4420011,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA002,FK2436HCOS1AA002,04c63e7ab91690000000,005800435830501720343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-10-05 09:45:29,2024-10-12 09:38:45,2024-10-16 18:31:22
BH-104282,88-0000861,HC4420012,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA349,FK2436HCOS1AA349,04be747ab91690000000,006A003D5830501620343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-10-05 09:24:37,2024-10-12 10:23:40,2024-10-16 18:31:22
BH-104282,88-0000861,HC4420011,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA347,FK2436HCOS1AA347,043b6b7ab91690000000,006F003C5830501620343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-10-05 13:05:15,2024-10-11 14:26:09,2024-10-16 18:31:22
BH-104282,88-0000861,HC4420014,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA007,FK2436HCOS1AA007,043a237ab91690000000,0019003B5830501620343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-10-05 13:05:01,2024-10-15 16:49:39,2024-10-16 18:31:22
BH-104282,88-0000861,HC4420012,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA005,FK2436HCOS1AA005,047c157ab91690000000,005C003B5830501620343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-10-05 09:24:22,2024-10-11 14:55:10,2024-10-16 18:31:22
BH-104282,88-0000861,HC4420011,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA340,FK2436HCOS1AA340,04202b7ab91690000000,005500455830501620343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-10-05 15:21:59,2024-10-12 12:24:50,2024-10-16 18:31:22
BH-104282,88-0000861,HC4420011,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA338,FK2436HCOS1AA338,0420397ab91690000000,0027003B5830501620343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-10-05 08:06:05,2024-10-11 14:53:05,2024-10-16 18:31:22
BH-104282,88-0000861,HC4420012,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA327,FK2436HCOS1AA327,041fa97ab91690000000,0063003E5830501620343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-10-05 17:31:18,2024-10-12 10:43:10,2024-10-16 18:31:22
BH-104282,88-0000861,HC4420011,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA317,FK2436HCOS1AA317,04215b7ab91690000000,001A00405830501620343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-10-05 17:31:32,2024-10-11 14:16:12,2024-10-16 18:31:22
BH-104282,88-0000861,HC4410001,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA247,FK2436HCOS1AA247,044056f2a11390000000,004700425830501720343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-10-05 09:45:33,2024-10-12 09:49:34,2024-10-16 18:31:22
BH-104282,88-0000861,HC4410001,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA248,FK2436HCOS1AA248,04592cf2a11390000000,006400435830501720343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-10-05 08:06:08,2024-10-11 14:01:39,2024-10-16 18:31:22
BH-104282,88-0000861,HC4420011,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA249,FK2436HCOS1AA249,045933f2a11390000000,001D00425830501720343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-10-05 08:06:12,2024-10-12 09:12:59,2024-10-16 18:31:22
BH-104282,88-0000861,HC4420011,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA243,FK2436HCOS1AA243,04c3507ab91690000000,004300445830501720343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-10-05 08:40:02,2024-10-12 12:42:44,2024-10-16 18:31:22
BH-104282,88-0000861,HC4420014,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA239,FK2436HCOS1AA239,04408df2a11390000000,001700415830501720343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-10-05 08:39:57,2024-10-15 17:40:46,2024-10-16 18:31:22
BH-104282,88-0000861,HC4420012,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA238,FK2436HCOS1AA238,04582df2a11390000000,003800425830501720343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-10-05 08:40:01,2024-10-12 10:41:17,2024-10-16 18:31:22
BH-104282,88-0000861,HC4420012,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA236,FK2436HCOS1AA236,045920f2a11390000000,006E00425830501720343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-10-05 08:06:09,2024-10-12 10:32:35,2024-10-16 18:31:22
